,mandates, CREDIT
86,100430676870,13000.0
87,100430677817,10400.0
88,100430698216,9100.0
89,100430783827,3900.0
90,100431510893,28600.0
91,100431772724,20800.0
92,100431772757,31200.0
93,100431774186,28600.0
94,100431796536,7800.0
95,100432052479,18200.0
96,100432098665,18200.0
97,100432424267,6650.0
98,100432561481,37240.0
99,100433758014,17290.0
100,100433766660,23940.0
101,100434043666,13300.0
102,100434260829,23940.0
103,100434331855,26600.0
104,100434601748,5320.0
105,100436979535,13300.0
106,100437719810,23940.0
107,100437722073,26600.0
108,100437851324,18620.0
109,100437895040,29260.0
110,100438005293,6650.0
111,100438272724,21280.0
112,100438306922,29260.0
113,100438318067,11970.0
114,100438375307,50540.0
115,100439025148,3990.0
116,100439118425,22610.0
117,100439310975,25270.0
118,100439429012,113050.0
119,100439430176,22610.0
120,100439494045,11970.0
121,100439502597,5320.0
122,100439754340,5320.0
123,100440087772,41230.0
124,100440197921,5320.0
125,100440217448,19950.0
126,100440409881,3990.0
127,100440578322,14630.0
128,100440684841,19950.0
129,100440725714,17290.0
130,100441222892,75810.0
131,100441331754,6650.0
132,100441424461,13300.0
133,100441559563,23940.0
134,100441644745,9310.0
135,100441667807,7980.0
136,100441731851,5320.0
137,100441731950,7980.0
138,100441746211,5320.0
139,100441887003,17290.0
140,100441905262,11970.0
141,100442015778,6650.0
142,100442044714,3990.0
143,100442058249,6650.0
144,100442077281,7980.0
145,100442135752,7980.0
146,100442197028,14630.0
147,100442197702,9310.0
148,100442233069,7980.0
149,100442264777,7980.0
150,100442342822,15960.0
151,100442374276,59850.0
152,100442642401,5320.0
153,100443015904,6650.0
154,100443090347,10640.0
155,100443206569,49210.0
156,100443232224,9310.0
157,100443240097,29260.0
158,100443240634,9310.0
159,100443257337,9310.0
160,100443257931,14630.0
161,100443259063,23940.0
162,100443279136,7980.0
163,100443279508,6650.0
164,100443359802,18620.0
165,100443426062,11970.0
166,100443426726,19950.0
167,100443427325,9310.0
168,100443453159,7980.0
169,100443462371,9310.0
170,100443490661,10640.0
171,100443613742,17290.0
172,100443662662,25270.0
173,100444135401,25270.0
174,100444135420,39900.0
175,100444172587,10640.0
176,100444350891,7980.0
177,100444386705,11970.0
178,100444413855,11970.0
179,100444451277,31920.0
180,100444454172,13300.0
181,100444454266,5320.0
182,100444564613,17290.0
183,100444564745,15960.0
184,100444573655,9868.06
185,100444924601,9310.0
186,100444932502,17290.0
187,100445067839,19950.0
188,100445085796,22610.0
189,100445093744,5320.0
190,100445224293,18620.0
191,100445248109,23940.0
192,100445257882,9310.0
193,100445291683,23940.0
194,100445364896,5320.0
195,100445409767,14630.0
196,100445433159,17290.0
197,100445506952,13300.0
198,100445509352,3990.0
199,100445574941,13300.0
200,100445634619,21280.0
201,100445690752,6650.0
202,100445698116,7980.0
203,100445718614,7980.0
204,100445805178,5320.0
205,100445807417,58520.0
206,100445809157,14630.0
207,100445819260,7980.0
208,100445829301,11970.0
209,100445829320,6650.0
210,100445853904,14630.0
211,100446044291,3990.0
212,100446270849,10640.0
213,100446335266,18620.0
214,100446451289,11970.0
215,100446513287,22583.910000000003
216,100446520457,38570.0
217,100446582186,18620.0
218,100446635321,5320.0
219,100446658850,7980.0
220,100446790265,33250.0
221,100446812347,3990.0
222,100446966009,26600.0
223,100446980595,7980.0
224,100447085365,6650.0
225,100447124890,17290.0
226,100447144529,11970.0
227,100447175281,11970.0
228,100447795120,7980.0
229,100447801574,3990.0
230,100447925720,15960.0
231,100448008903,21280.0
232,100448156856,5320.0
233,100448219241,6650.0
234,100448569215,13300.0
235,100449886989,18620.0
236,100450928103,26600.0
237,100450971766,31920.0
238,100451413457,3990.0
239,100452119841,29260.0
240,100452506078,14630.0
241,100452517835,9310.0
242,100452605196,14630.0
243,100452636541,15960.0
244,100452953925,13300.0
245,100453081465,15960.0
246,100453099012,9310.0
247,100453172267,13300.0
248,100453402904,3990.0
249,100453692116,3990.0
250,100453767625,11970.0
251,100453780622,6650.0
252,100453836030,7980.0
253,100453864240,3990.0
254,100454106790,8776.57
255,100454107153,7980.0
